,user_id,aggressiveness_mean,most_common_opening,maximum_elo,winning_colour,time_per_game_mean,movements_mean,points_balance_mean,taken_balance_mean
0,procellariidae,0.5,Ruy Lopez,2474,White,855.375,81.0,1.0,1.0
1,billow1,1.4523809523809523,Sicilian Defense,2275,White,679.1904761904761,67.0,2.0,1.0
2,classyplays,0.9375,Queen's Pawn Game,2549,White,2179.339285714286,79.0,1.0,1.0
3,hmyrkosoydocent,0.0,Bogo-Indian Defense,2425,White,480.0,43.0,-2.0,-1.0
4,maksimpanov,0.6,King's Indian Defense,2404,White,662.8,72.0,0.0,-1.0
5,self_service,4.5,Sicilian Defense,2399,White,876.0,90.0,1.0,1.0
6,zugzwang_tv,0.5714285714285714,Nimzo-Larsen Attack,2398,White,3031.6507936507937,51.0,2.0,1.0
7,aqtobe,1.221311475409836,Scandinavian Defense,2315,White,530.7213114754098,68.0,0.0,0.0
8,jposthuma,0.3333333333333333,Caro-Kann Defense,2373,White,1958.0,74.0,2.0,1.0
9,zyx11223,0.5689655172413793,King's Indian Defense,2372,White,509.82758620689657,51.0,1.0,1.0
10,pointlessmaterial,1.0151515151515151,Sicilian Defense,2346,White,732.939393939394,55.0,1.0,1.0
11,osho3058,1.1911764705882353,Caro-Kann Defense,2243,White,841.8823529411765,61.0,1.0,1.0
12,kyren,2.2,Queen's Gambit Accepted,2333,White,540.4,56.0,2.0,1.0
13,gek76,1.52,Queen's Pawn Game,2319,White,570.76,78.0,3.0,1.0
14,massterofmayhem,1.0912698412698412,Sicilian Defense,2489,White,1115.3492063492063,64.0,1.0,0.0
15,jasrom,1.4166666666666667,Queen's Gambit Declined,2335,White,1142.5,75.0,2.0,0.0
16,brooklynboy,0.2857142857142857,English Opening,2389,White,840.2619047619048,74.0,1.0,0.0
17,wittke,0.7019230769230769,Réti Opening,2385,White,1091.2307692307693,67.0,3.0,1.0
18,arabian_night,1.75,Borg Defense,2290,White,894.9166666666666,84.0,2.0,1.0
19,vadimcernov,1.875,Sicilian Defense,2298,White,356.75,68.0,5.0,2.0
20,dark-zone,1.1222222222222222,Sicilian Defense,2361,White,636.5777777777778,62.0,2.0,0.0
21,propileno,1.05,Sicilian Defense,2323,White,1061.1,79.0,-0.0,1.0
22,tiger_tigerov,0.20833333333333334,Ruy Lopez,2203,White,812.5,57.0,3.0,1.0
23,subhra2019,0.38461538461538464,Nimzo-Larsen Attack,2362,White,638.1153846153846,67.0,4.0,1.0
24,kaljakeisari,0.6071428571428571,Sicilian Defense,2322,White,801.6428571428571,71.0,0.0,0.0
25,jonnnyboy2000,0.875,French Defense,2328,White,616.0,63.0,3.0,1.0
26,fischerrob,1.85,Sicilian Defense,2288,White,648.1,64.0,2.0,1.0
27,arteler,0.7790697674418605,French Defense,2313,White,241.6046511627907,56.0,1.0,0.0
28,rufat_nasibov,0.4318181818181818,English Opening,2260,Black,1335.0454545454545,81.0,1.0,0.0
29,marianag,1.0,Réti Opening,2272,Black,983.0,68.0,-1.0,-1.0
30,lord-universe,1.1833333333333333,Sicilian Defense,2369,White,621.4833333333333,69.0,2.0,1.0
31,rochade_augsburg,0.7159090909090909,King's Indian Attack,2306,White,472.6818181818182,90.0,3.0,1.0
32,anwen_digo,0.6153846153846154,Indian Game,2214,White,503.61538461538464,53.0,1.0,0.0
33,kite1993,1.125,Sicilian Defense,2151,White,362.125,49.0,3.0,1.0
34,parasaki,0.7430555555555556,Sicilian Defense,2315,White,939.4166666666666,72.0,1.0,0.0
35,frager68,0.5625,English Opening,2410,White,283.6875,62.0,3.0,1.0
36,aconeni,1.15,Caro-Kann Defense,2283,White,934.6,88.0,1.0,0.0
37,kholpilova,1.3181818181818181,Four Knights Game,2241,White,568.9090909090909,76.0,3.0,2.0
38,dpcjsr,0.0,Zukertort Opening,2198,White,819.3333333333334,38.0,-1.0,0.0
39,josip_buje,1.2448979591836735,Alekhine Defense,2312,White,683.3979591836735,65.0,4.0,2.0
40,smv123,1.1865671641791045,Sicilian Defense,2261,White,796.6716417910447,74.0,3.0,1.0
41,colakturkey,1.55,Sicilian Defense,2194,White,859.2,63.0,3.0,0.0
42,salasar1955,2.0,Sicilian Defense,2157,White,568.0,37.0,0.0,0.0
43,matirom,0.6122448979591837,Slav Defense,2280,White,810.7755102040817,81.0,0.0,0.0
44,sroosh85,0.5,Torre Attack,2178,White,153.5,48.0,2.0,-0.0
45,lookmeintheeye,1.3666666666666667,English Opening,2308,White,1144.1666666666667,73.0,3.0,1.0
46,kokochambo,1.106060606060606,Sicilian Defense,2168,White,777.6060606060606,64.0,1.0,1.0
47,ulysse06,0.6554054054054054,King's Indian Defense,2317,White,1204.081081081081,81.0,2.0,1.0
48,apdemic,0.0,Queen's Gambit Declined,2184,White,1112.0,58.0,4.0,2.0
49,jonathan_wolf,1.4375,Philidor Defense,2217,White,874.0,78.0,4.0,1.0
50,tenthousandhours,0.8888888888888888,Modern Defense,2258,White,3229.4444444444443,70.0,-0.0,-0.0
51,luhrman,0.75,Sicilian Defense,2271,White,745.5,90.0,2.0,0.0
52,alms,1.3571428571428572,Modern Defense,2252,White,3651.1428571428573,78.0,-1.0,1.0
53,demarionash,0.9411764705882353,English Opening,2193,White,542.2941176470588,72.0,5.0,2.0
54,robertt74,0.9590163934426229,Sicilian Defense,2270,White,331.60655737704917,69.0,3.0,1.0
55,mishel52,0.8785046728971962,Sicilian Defense,2264,White,747.607476635514,79.0,2.0,1.0
56,kisel70,0.6666666666666666,English Opening,2104,White,893.75,64.0,2.0,1.0
57,kalli_feldchamp,1.2857142857142858,Pirc Defense,2189,White,562.8571428571429,64.0,0.0,0.0
58,peristeria,0.85,French Defense,2334,White,1631.7,75.0,1.0,1.0
59,unukr1,0.6363636363636364,English Opening,2235,White,578.7272727272727,60.0,1.0,0.0
60,sforgasi009,0.25,Zukertort Opening,2161,White,474.875,65.0,4.0,2.0
61,zhan_gaben1966,0.984375,Sicilian Defense,2250,White,639.2,67.0,1.0,0.0
62,koh99koh,0.8333333333333334,Benko Gambit,2125,White,476.0,71.0,1.0,1.0
63,mariuseg,0.9583333333333334,Sicilian Defense,2214,White,629.1923076923077,73.0,1.0,0.0
64,ephemerall,1.3173076923076923,Queen's Pawn Game,2259,White,767.4038461538462,65.0,2.0,1.0
65,trailo,1.1666666666666667,Queen's Indian Defense,2340,White,1042.1666666666667,90.0,1.0,-0.0
66,resueraromeoramil,1.2,Sicilian Defense,2197,White,560.0666666666667,70.0,2.0,0.0
67,robertmugabe,1.037037037037037,Sicilian Defense,2207,White,935.7777777777778,95.0,-0.0,0.0
68,keej19,0.875,Sicilian Defense,2268,Black,1234.375,79.0,0.0,1.0
69,kopdl,0.4482758620689655,Philidor Defense,2233,Black,1368.6896551724137,87.0,0.0,0.0
70,crapablanca91,0.6086956521739131,Caro-Kann Defense,2247,White,584.8695652173913,72.0,4.0,2.0
71,val1957,0.675,Sicilian Defense,2159,White,1305.8,78.0,3.0,1.0
72,thmachine,0.873015873015873,French Defense,2234,White,906.2539682539683,87.0,2.0,0.0
73,engineeredattack,0.2692307692307692,English Opening,2247,White,594.5384615384615,59.0,3.0,1.0
74,senseifish,0.96,Sicilian Defense,2265,White,675.52,80.0,2.0,1.0
75,ledakov_alexandr,0.8076923076923077,Semi-Slav Defense,2282,White,572.1538461538462,54.0,4.0,1.0
76,jaska,0.16666666666666666,Caro-Kann Defense,2241,White,1280.3333333333333,73.0,3.0,1.0
77,sreehith,0.34615384615384615,English Opening,2254,White,1496.1153846153845,70.0,1.0,0.0
78,varchavianka,1.1956521739130435,English Opening,2270,White,1902.608695652174,55.0,1.0,0.0
79,themouthbreather,0.5476190476190477,Ruy Lopez,2183,White,555.1428571428571,59.0,1.0,0.0
80,kyriakos49,1.1818181818181819,Sicilian Defense,2226,White,509.27272727272725,65.0,3.0,1.0
81,yudhishtira,0.45,Slav Defense,2251,White,1385.35,73.0,0.0,0.0
82,ovonoc,1.1195652173913044,Sicilian Defense,2307,White,1218.7826086956522,83.0,-0.0,-0.0
83,idiamin100,0.9896907216494846,English Opening,2237,White,690.639175257732,79.0,2.0,1.0
84,blindmoose,0.2,French Defense,2091,White,807.6666666666666,56.0,3.0,1.0
85,lotka,0.6565656565656566,French Defense,2195,White,705.959595959596,78.0,2.0,1.0
86,calvinmaster,1.0909090909090908,Sicilian Defense,2204,White,820.0,77.0,2.0,0.0
87,makeareason,1.0789473684210527,Sicilian Defense,2258,White,1730.3684210526317,88.0,2.0,1.0
88,christopherchabris,0.2857142857142857,Ruy Lopez,2259,White,3281.1428571428573,82.0,1.0,0.0
89,kassandra-14,0.8958333333333334,Alekhine Defense,2175,White,1031.0,84.0,-0.0,-0.0
90,thedrunkenlawyer,0.5,Nimzo-Indian Defense,2236,White,2779.0,108.0,0.0,0.0
91,congretulator,0.0,English Opening,2219,White,760.0,58.0,10.0,2.0
92,cizar,1.25,French Defense,2287,White,1017.5,88.0,1.0,1.0
93,madesta3,1.7105263157894737,Alekhine Defense,2145,White,793.0263157894736,71.0,0.0,0.0
94,gepard1988,0.8771929824561403,Caro-Kann Defense,2216,White,666.7368421052631,72.0,1.0,0.0
95,soev,0.8333333333333334,Colle System,2237,White,1449.0,107.0,0.0,-0.0
96,playpetrosian,0.07142857142857142,Caro-Kann Defense,2114,White,721.8571428571429,71.0,4.0,1.0
97,salvokappa,0.684971098265896,Nimzowitsch Defense,2265,White,1011.7861271676301,80.0,1.0,1.0
98,sinrostro,0.0,Queen's Pawn Game,2113,White,1112.0,58.0,0.0,0.0
99,mohsen448,0.8103448275862069,Queen's Pawn Game,2237,White,882.0,73.0,1.0,1.0
100,turtle-turtle,0.9078947368421053,Sicilian Defense,2294,White,684.7894736842105,80.0,2.0,1.0
101,medo500,0.85,Queen's Gambit Declined,2220,White,1285.6,101.0,3.0,-0.0
102,munaretto,0.76171875,Sicilian Defense,2234,White,1758.1875,75.0,1.0,1.0
103,spankstella,1.1666666666666667,Sicilian Defense,2205,White,840.5555555555555,83.0,1.0,0.0
104,arhia-alagemand,0.6964285714285714,French Defense,2247,White,905.1071428571429,82.0,0.0,-0.0
105,okoros,1.3461538461538463,Sicilian Defense,2204,White,620.3846153846154,60.0,2.0,1.0
106,micky1z,1.5,Sicilian Defense,2194,White,942.9285714285714,72.0,1.0,1.0
107,boreconstrictor,0.8152173913043478,French Defense,2179,White,615.4782608695652,86.0,1.0,0.0
108,aldwoolf,0.36363636363636365,Sicilian Defense,2280,White,1026.7272727272727,88.0,0.0,-0.0
109,norisknofun86,0.8333333333333334,Sicilian Defense,2239,White,1235.5,73.0,0.0,1.0
110,memo12345,0.4583333333333333,French Defense,2158,White,1105.375,81.0,-1.0,0.0
111,behrooz121,0.8222222222222222,Russian Game,2090,White,463.0888888888889,55.0,2.0,1.0
112,leleilre,1.8333333333333333,Sicilian Defense,2278,White,1066.9333333333334,87.0,2.0,1.0
113,shinelikestars,0.625,Sicilian Defense,2234,White,533.1666666666666,58.0,3.0,2.0
114,dunker62,0.9427480916030534,Sicilian Defense,2219,White,841.4427480916031,68.0,1.0,1.0
115,sirleopold,1.25,English Opening,2205,White,650.5,65.0,2.0,2.0
116,tomek188,0.9142857142857143,Sicilian Defense,2211,White,880.0,67.0,2.0,1.0
117,ali_suwarjono,1.3333333333333333,Sicilian Defense,1975,Black,1123.7407407407406,79.0,0.0,1.0
118,ptolmorik,1.6714285714285715,Sicilian Defense,2320,White,1593.2,67.0,1.0,0.0
119,runacus,0.5925925925925926,Ruy Lopez,2243,White,411.44444444444446,58.0,1.0,1.0
120,agriba,2.0,King's Gambit Accepted,2208,White,859.0,59.0,5.0,3.0
121,doash,2.5,Sicilian Defense,2152,White,1335.0,87.0,-2.0,-2.0
122,yuelang,1.5,Sicilian Defense,2199,White,700.0909090909091,71.0,2.0,1.0
123,badbear,0.6944444444444444,Sicilian Defense,2225,White,662.9444444444445,68.0,2.0,1.0
124,ekhaabb,0.7785714285714286,Nimzo-Larsen Attack,2201,White,1013.4142857142857,73.0,1.0,1.0
125,chessnock,0.875,Caro-Kann Defense,2223,White,603.0,59.0,4.0,2.0
126,sarzhanovch2004,0.8636363636363636,Italian Game,2239,White,913.9090909090909,96.0,1.0,0.0
127,chessfaun,0.6956521739130435,Queen's Gambit Declined,2209,White,1011.1304347826087,78.0,1.0,1.0
128,dpomerantz,1.2563025210084033,Sicilian Defense,2243,White,734.436974789916,72.0,1.0,1.0
129,marvinhueck,0.44554455445544555,French Defense,2235,White,1058.5643564356435,64.0,2.0,1.0
130,bleichkind,0.0,Queen's Gambit Declined,2045,Black,498.5,60.0,1.0,0.0
131,marygracebering,1.1388888888888888,Sicilian Defense,2119,White,342.44444444444446,55.0,1.0,1.0
132,trrak55,1.0,Queen's Gambit Declined,2220,White,1234.5,58.0,0.0,0.0
133,entkoter,1.7307692307692308,Trompowsky Attack,2194,White,916.3846153846154,80.0,-1.0,-0.0
134,bariew,1.6666666666666667,Sicilian Defense,2223,White,968.1111111111111,82.0,4.0,1.0
135,sergei555spb,1.1304347826086956,Caro-Kann Defense,2219,White,441.3478260869565,69.0,3.0,1.0
136,dj__chess,1.1176470588235294,Queen's Pawn Game,2310,White,738.2647058823529,75.0,1.0,1.0
137,alex50171,0.7,Queen's Gambit Declined,2218,White,1189.7333333333333,103.0,1.0,0.0
138,ashish1900,1.5625,King's Indian Defense,2167,White,950.75,74.0,0.0,1.0
139,joshiii876,0.6346153846153846,Ruy Lopez,2261,White,781.5769230769231,62.0,2.0,1.0
140,rockbull,1.0476190476190477,King's Pawn Game,2112,White,216.38095238095238,54.0,-0.0,-0.0
141,moritex,0.9411764705882353,Bird Opening,2201,White,540.6764705882352,57.0,3.0,1.0
142,svendra,1.1938775510204083,Sicilian Defense,2155,White,1161.6326530612246,76.0,2.0,1.0
143,circularity,0.5,Sicilian Defense,2209,White,1222.111111111111,71.0,3.0,1.0
144,conwycastle,1.1491935483870968,Sicilian Defense,2239,White,1297.5564516129032,75.0,0.0,0.0
145,sskafka,0.5735294117647058,Pirc Defense,2148,White,494.11764705882354,64.0,1.0,0.0
146,miki2444,0.7807017543859649,French Defense,2194,White,665.9122807017544,67.0,1.0,0.0
147,schachspieler1689,0.5,French Defense,2210,Black,615.5833333333334,48.0,1.0,1.0
148,ustronianek1329,0.7924528301886793,Sicilian Defense,2183,White,571.9622641509434,78.0,1.0,0.0
149,bloisalexandre,2.0,Philidor Defense,1500,White,124.0,32.0,-2.0,0.0
150,merluret32,1.0208333333333333,Sicilian Defense,2175,White,963.7916666666666,88.0,2.0,1.0
151,mischadura,1.5,Sicilian Defense,2171,White,1611.5,134.0,0.0,0.0
152,bakhtin_va,1.5,Caro-Kann Defense,2223,White,1654.4,116.0,1.0,0.0
153,magicalzdragonz,1.0526315789473684,Nimzo-Larsen Attack,2203,White,1445.6315789473683,60.0,0.0,0.0
154,an1111,0.6766561514195584,French Defense,2199,White,759.9968454258675,73.0,2.0,1.0
155,nonamek,1.0,Sicilian Defense,2127,White,2271.266666666667,87.0,1.0,0.0
156,jonnyturgi,1.0555555555555556,Caro-Kann Defense,2161,White,615.2222222222222,54.0,0.0,1.0
157,niclang,0.5,French Defense,2118,White,711.6666666666666,66.0,-1.0,-0.0
158,infiniteflash,0.25,English Opening,2089,White,757.5,110.0,-2.0,1.0
159,xatzigeo,0.6436170212765957,French Defense,2222,White,695.7446808510638,69.0,2.0,0.0
160,benoni4,1.6933333333333334,Sicilian Defense,2207,White,1554.0933333333332,63.0,1.0,0.0
161,chetanpratap,0.7672413793103449,Sicilian Defense,2191,White,530.1379310344828,80.0,1.0,0.0
162,ryune,0.625,Scotch Game,2180,White,557.35,63.0,1.0,1.0
163,camal6666,0.5344827586206896,Scandinavian Defense,2190,White,926.0344827586207,71.0,1.0,1.0
164,dr_kain,1.0603448275862069,Sicilian Defense,2258,White,798.2586206896551,69.0,1.0,1.0
